,Country,City,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
312,us,scranton,scranton,us,41.41,-75.66,3.0,5.7,34.0,90.0
313,hu,nagyrabe,nagyrabe,hu,47.2,21.33,13.0,3.6,82.0,88.0
314,sv,berlin,berlin,sv,13.5,-88.53,31.0,5.1,62.0,20.0
315,bg,mezdra,mezdra,bg,43.14,23.71,14.0,2.6,93.0,75.0
316,se,boden,boden,se,65.83,21.69,-1.0,3.1,100.0,88.0
317,us,clute,clute,us,29.02,-95.4,23.0,4.1,83.0,90.0
318,fr,drancy,drancy,fr,48.92,2.45,7.0,3.1,86.0,0.0
319,ro,bumbesti-jiu,bumbesti-jiu,ro,45.18,23.38,11.03,1.58,84.0,76.0
321,ci,boundiali,boundiali,ci,9.53,-6.48,23.03,2.03,80.0,44.0
322,co,ramiriqui,ramiriqui,co,5.4,-73.34,11.46,0.81,100.0,92.0
323,th,nong chik,nong chik,th,6.84,101.18,22.43,1.28,92.0,0.0
324,ru,kovylkino,kovylkino,ru,54.04,43.91,-8.82,1.23,62.0,0.0
325,pl,paslek,paslek,pl,54.06,19.66,8.58,5.03,92.0,88.0
326,in,sorab,sorab,in,14.38,75.1,21.21,1.28,90.0,76.0
327,ro,fitionesti,fitionesti,ro,45.98,27.05,13.0,7.2,76.0,0.0
328,ch,huttwil,huttwil,ch,47.11,7.85,8.0,3.1,86.0,0.0
329,ro,tacuta,tacuta,ro,46.92,27.68,11.0,6.2,66.0,0.0
330,pk,johi,johi,pk,26.69,67.61,22.56,1.36,66.0,80.0
331,tz,mtama,mtama,tz,-10.3,39.37,21.78,1.28,92.0,48.0
332,bg,burgas,burgas,bg,42.49,27.45,11.0,3.6,71.0,0.0
333,de,eutin,eutin,de,54.14,10.62,3.0,3.6,86.0,75.0
334,ph,tinago,tinago,ph,13.63,123.19,26.28,4.58,86.0,48.0
335,sk,giraltovce,giraltovce,sk,49.11,21.52,11.0,5.7,81.0,75.0
337,nl,blaricum,blaricum,nl,52.27,5.24,3.0,1.5,93.0,0.0
338,ro,gheorghe lazar,gheorghe lazar,ro,44.63,27.45,10.71,3.38,73.0,36.0
339,md,dubasari,dubasari,md,47.26,29.16,10.0,3.6,81.0,75.0
340,nl,the hague,the hague,nl,52.08,4.31,6.0,1.0,86.0,12.0
341,tz,igurusi,igurusi,tz,-8.83,33.85,11.13,1.03,90.0,0.0
342,ke,webuye,webuye,ke,0.62,34.77,15.0,2.1,87.0,75.0
343,ro,jamu mare,jamu mare,ro,45.26,21.42,13.0,3.6,93.0,75.0
344,br,itarana,itarana,br,-19.87,-40.88,22.21,1.16,95.0,88.0
345,cn,xianyang,xianyang,cn,34.31,108.72,9.0,5.0,12.0,20.0
346,ec,san cristobal,san cristobal,ec,-1.02,-79.44,16.71,0.33,100.0,88.0
347,gb,fairlie,fairlie,gb,55.76,-4.86,6.0,3.6,100.0,76.0
348,mx,copala,copala,mx,16.61,-98.97,27.06,2.38,61.0,0.0
350,ph,cabiraoan,cabiraoan,ph,18.32,122.09,25.63,4.51,100.0,20.0
351,us,terryville,terryville,us,29.19,-97.07,22.0,4.1,94.0,90.0
352,ru,beloretsk,beloretsk,ru,58.67,52.48,-8.77,2.51,61.0,0.0
353,jp,edosaki,edosaki,jp,35.95,140.32,18.0,5.1,100.0,40.0
354,us,green haven,green haven,us,46.54,-86.02,0.0,7.2,58.0,90.0
355,my,kinarut,kinarut,my,5.82,116.05,24.0,2.6,88.0,75.0
356,ru,kytmanovo,kytmanovo,ru,53.46,85.45,-13.02,1.28,50.0,20.0
357,az,hadrut,hadrut,az,39.52,47.03,4.56,1.11,96.0,88.0
358,mx,tarecuato,tarecuato,mx,19.84,-102.47,25.73,1.78,30.0,0.0
359,ua,subottsi,subottsi,ua,48.65,32.52,7.78,4.03,69.0,44.0
360,no,dale,dale,no,61.36,5.4,2.0,2.1,80.0,88.0
361,br,itapema,itapema,br,-27.09,-48.61,20.0,3.1,88.0,40.0
362,gt,san agustin acasaguastlan,san agustin acasaguastlan,gt,14.95,-89.97,25.58,0.68,36.0,32.0
363,ph,payuhan,payuhan,ph,5.94,120.9,29.08,2.01,88.0,24.0
364,ru,povorino,povorino,ru,51.2,42.24,-8.8,1.28,68.0,0.0
365,ne,ouallam,ouallam,ne,14.32,2.08,24.18,1.51,36.0,80.0
366,br,tapejara,tapejara,br,-23.73,-52.87,19.33,2.91,74.0,0.0
367,lu,bergem,bergem,lu,49.53,6.04,4.0,2.6,90.0,0.0
368,gb,dunlop,dunlop,gb,55.71,-4.53,6.0,3.6,100.0,76.0
369,ru,orel-izumrud,orel-izumrud,ru,43.46,39.92,8.0,2.91,70.0,0.0
370,cz,nivnice,nivnice,cz,48.98,17.64,12.0,5.7,62.0,0.0
371,br,uruguaiana,uruguaiana,br,-29.77,-57.08,26.0,1.5,57.0,0.0
372,pl,grodzisk mazowiecki,grodzisk mazowiecki,pl,52.11,20.63,10.0,1.5,76.0,0.0
373,in,madanapalle,madanapalle,in,13.56,78.5,18.71,1.38,88.0,0.0
374,ph,polloc,polloc,ph,7.36,124.22,24.46,2.78,100.0,68.0
375,mx,tecamachalco,tecamachalco,mx,18.89,-97.73,15.16,1.33,100.0,44.0
376,mu,notre dame,notre dame,mu,-20.14,57.55,25.0,3.1,83.0,75.0
377,us,lakeside,lakeside,us,37.61,-77.48,14.0,2.1,20.0,1.0
378,ph,santa cecilia,santa cecilia,ph,14.1,122.25,27.08,5.11,92.0,0.0
379,my,pulau sebang,pulau sebang,my,2.44,102.23,26.0,1.5,83.0,75.0
